x	y	z
-93.7351	-16.7883	0.0
-95.7338	2.90696	0.0
-95.9399	18.5505	0.0
-79.8482	-55.7662	0.0
-82.7174	-41.7014	0.0
-80.7886	-22946	0.0
-79.0268	-6.05337	0.0
-82.0067	10.4321	0.0
-80.6049	25.4132	0.0
-82.8366	44.0516	0.0
-78.9526	61124	0.0
-64102	-65.5156	0.0
-64.2225	-46.9066	0.0
-68468	-33.3416	0.0
-68.4907	-14.3586	0.0
-67762	-0.0687358	0.0
-64.3596	17.0034	0.0
-65.1953	36802	0.0
-65.7418	51.8249	0.0
-64.8725	70.5213	0.0
-49.7993	-75.1665	0.0
-50.1662	-59.6431	0.0
-51.6159	-42.4253	0.0
-52.2097	-24.4339	0.0
-49.6998	-5.49337	0.0
-52.8067	10.2768	0.0
-53.0525	25.5959	0.0
-50.1145	42.8981	0.0
-50.8895	63.7084	0.0
-51.5362	77.8187	0.0
-35.1206	-84.1124	0.0
-39.0413	-67.4176	0.0
-36.7631	-50.2966	0.0
-35.5977	-32.8759	0.0
-38.2835	-13.9819	0.0
-36793	3.2073	0.0
-38.2603	20.0752	0.0
-38.5707	36.7987	0.0
-35.5583	50.5694	0.0
-35.4349	71.8035	0.0
-34977	87.9757	0.0
-20.4709	-93.9292	0.0
-20396	-76.3795	0.0
-23.7124	-57.6671	0.0
-23908	-40.2429	0.0
-21.0551	-22.9972	0.0
-20.3947	-5.09517	0.0
-20212	9.72254	0.0
-24.1934	27.5216	0.0
-19.9637	47.0325	0.0
-22.1828	63.9466	0.0
-22.5229	76.7938	0.0
-23.5922	96.0568	0.0
-7.4651	-98934	0.0
-5.63692	-80.5666	0.0
-9.19887	-66.9041	0.0
-7.83299	-49.2237	0.0
-7.58047	-29.8289	0.0
-9.17806	-14.3046	0.0
-8.47321	1.79866	0.0
-6.22558	17232	0.0
-6.1979	34592	0.0
-6.06438	51.8374	0.0
-7.99579	71.8464	0.0
-9.34279	88.3144	0.0
8.09689	-92.1459	0.0
8.56241	-76.1541	0.0
5.75799	-58.7743	0.0
6.80561	-42.8107	0.0
7.29498	-24.8781	0.0
9.49315	-8.67633	0.0
5.48934	10.7607	0.0
7.48964	25.2213	0.0
8.37825	44.0642	0.0
6.63344	60.3534	0.0
8.82467	76.4799	0.0
5.50615	97.7667	0.0
20.0973	-85.3025	0.0
23.6045	-66.3319	0.0
21.6682	-31.0106	0.0
20.8476	-14.3643	0.0
23354	4.3938	0.0
23.2571	21.0108	0.0
21.9115	37.8318	0.0
23.0517	50.9854	0.0
20875	68.0303	0.0
37.9323	-76.0558	0.0
38.8808	-59.6001	0.0
34.7439	-39.8988	0.0
34.7224	-26.0126	0.0
38066	-8.93449	0.0
36.8513	9.09404	0.0
36.4099	27.3056	0.0
35.4412	44.6587	0.0
36.1567	62.8726	0.0
37.3943	79938	0.0
50.5785	-83.4395	0.0
51.7827	-64.4546	0.0
50186	-48.5523	0.0
53.3226	-33.7905	0.0
51.1424	-15.7653	0.0
52.0446	1.17038	0.0
52.8293	16.8413	0.0
49.7305	34.3809	0.0
51.0108	55.0179	0.0
49.4942	67.6309	0.0
68.0616	-56.1252	0.0
67.5741	-38.8549	0.0
64.4535	-24.3364	0.0
67.9933	-6.46241	0.0
65.0907	12.6911	0.0
65.1839	25.4711	0.0
66.8215	44.4639	0.0
67.4613	60.1319	0.0
82.3886	-46.9536	0.0
82.0147	-33.4872	0.0
81.3058	-15.8358	0.0
79.4432	-0.165153	0.0
81181	18.2513	0.0
82.8324	35.9978	0.0
82.6803	55.3748	0.0
95.6087	-23.2664	0.0
96.4069	-7.70411	0.0
94.1872	12.5324	0.0
93.7707	26.4937	0.0
