0: 1,341
1: 0,2,10
2: 1,10,12,11
3: 4,369,499
4: 3,12,11,24
5: 6,13,39
6: 5,320,383
7: 19
8: 583,9
9: 10,8,35
10: 1,2,9
11: 24,2,4,12
12: 4,2,11,24
13: 25,5,39
14: 26,39
15: 40,16,55,26
16: 15,40,54,55
17: 437,61,30
18: 46,31,32,19,47
19: 7,18,33,47
20: 33,48,35,21
21: 33,20,35
22: 38,23,65,36
23: 22,65,66,50,36
24: 11,37,4,12
25: 13,39
26: 14,39,15,40
27: 488,28,500,41
28: 27,41
29: 41,541,43,348
30: 61,17,45,31
31: 45,46,18,32,30,47
32: 45,46,18,31,47,48,64
33: 47,48,20,19,21
34: 49,80,81
35: 20,9,21
36: 50,51,66,22,23
37: 24,38
38: 22,37
39: 26,14,13,25,5
40: 15,16,54,26
41: 29,27,28
42: 57,43,73
43: 57,42,29
44: 60,77,61
45: 46,31,32,61,30,60
46: 45,18,31,32,64
47: 33,48,64,18,31,32,19
48: 33,47,20,64,32
49: 34,80,66,117,81
50: 51,36,65,66,23
51: 50,82,36,68
52: 53,67
53: 52,67,54
54: 40,16,55,53,70
55: 15,16,54,70
56: 72,57,58,74
57: 43,42,56,72,58
58: 451,57,56
59: 77,76,75
60: 44,61,45
61: 30,17,44,60,45
62: 97,79,63
63: 79,97,62
64: 47,48,46,32
65: 66,22,23,50
66: 49,65,23,50,36
67: 84,69,68,52,53
68: 84,69,67,85,51,82,83
69: 68,67,85
70: 54,55,102,105,87
71: 88,73,72
72: 56,71,57,73
73: 42,71,72
74: 56,90
75: 111,93,129,59,77
76: 491,367,59
77: 44,59,75,93,94
78: 94,95
79: 115,63,97,62
80: 34,49,117,81,99
81: 117,99,34,49,80
82: 51,100,84,68,83
83: 101,82,118,100,84,68
84: 68,67,85,82,101,83
85: 84,69,68
86: 102,104,103
87: 105,88,70,102
88: 71,105,87,89
89: 107,88,90
90: 107,89,74
91: 410,304,108,126,109
92: 336,300,110,127
93: 75,111,94,129,77
94: 93,77,78,95
95: 94,78
96: 114,113
97: 62,79,63
98: 115,131,134,116
99: 117,81,80
100: 118,117,82,101,83
101: 83,118,100,84
102: 104,103,70,105,87,86
103: 102,104,86
104: 102,103,86
105: 88,87,70,102
106: 125,140,123,142,141,124
107: 89,90
108: 91,304,126,109
109: 126,91,108,409
110: 127,300,92
111: 75,93,129
112: 147,114,130,113
113: 130,112,114,96
114: 96,112,130,113
115: 79,131,98
116: 134,133,131,98
117: 81,99,49,80,100
118: 100,101,83
119: 137,154,153
120: 121,155,139,138
121: 120,155,139,138,122
122: 121,155,139
123: 140,106,142,141,124
124: 142,141,123,125,106
125: 106,124
126: 109,91,108
127: 110,145,300,92
128: 146
129: 75,111,93
130: 113,112,114
131: 115,98,134,133,116
132: 149,133
133: 134,116,149,131,132,151,150
134: 133,116,131,98,136
135: 152,151,136
136: 134,152,135
137: 154,119
138: 121,120
139: 121,120,155,122
140: 123,106,142,141,159
141: 142,159,124,140,123,106
142: 141,159,124,140,123,106,158
143: 144,160,161
144: 143,160,409
145: 127,290,300
146: 147,128,163,164
147: 146,112,165,163,164
148: 180,162,166
149: 132,133,151,150
150: 151,149,152,133
151: 150,149,152,133,135
152: 135,151,150,136
153: 154,119
154: 137,119,153
155: 121,120,139,172,122
156: 173,174
157: 174,175
158: 176,142,159
159: 142,141,140,176,158
160: 144,143,177,161
161: 177,143,160,179
162: 180,148,164,182
163: 164,146,147,165
164: 163,146,147,165,162
165: 147,163,164
166: 180,148,183,167
167: 166,184,183
168: 202,185
169: 188,170
170: 188,171,169
171: 188,170
172: 173,155
173: 156,172
174: 175,157,156,192,193
175: 174,157,227,176
176: 158,175,159
177: 178,161,160
178: 177,196
179: 364,161
180: 148,162,166,182,183
181: 408,213,197,214
182: 198,184,183,200,180,162
183: 184,182,200,180,166,167
184: 182,183,200,167
185: 202,168,186
186: 203,187,219,202,201,185,234
187: 186,203,204
188: 171,170,169
189: 205,190
190: 189,191
191: 205,190
192: 210,193,174
193: 209,210,192,227,174
194: 211,227
195: 212,196,211
196: 212,195,178
197: 181,213,214,199
198: 182,199,216,215
199: 214,197,198,215
200: 184,182,183,216,217
201: 202,218,186,219
202: 201,185,168,186,219
203: 186,187,219,234,204
204: 222,203,187,234,235
205: 189,206,207,191
206: 207,205,238
207: 206,237,221,205
208: 209,226,225
209: 210,193,227,208
210: 209,192,193,227
211: 194,195
212: 196,195,399,561
213: 229,181,197,214
214: 199,181,213,229,197
215: 216,199,198
216: 215,217,198,200
217: 216,200,232
218: 233,201,219
219: 186,203,202,201,218,234
220: 234,235,249
221: 222,207,237
222: 236,221,204,237
223: 239,240,238,252,264
224: 240
225: 226,208
226: 225,255,254,208,268
227: 209,210,193,175,194
228: 399,404,243,242,443
229: 331,213,408,424,214
230: 244,231
231: 230
232: 233,217,257,245
233: 232,218,257,245
234: 235,220,186,203,219,204
235: 234,220,249,204
236: 249,222,263,250,237
237: 207,236,221,222,250,251
238: 239,240,223,206,252
239: 240,223,238,252,266,264
240: 239,223,238,224,266
241: 267,255,254,266,253
242: 308,228,243,443
243: 228,242
244: 230,424
245: 258,257,232,233
246: 258
247: 260,248
248: 260,247
249: 236,235,220,263,250
250: 263,281,236,249,237,251
251: 250,237
252: 239,223,238,264
253: 266,267,241,255
254: 267,241,255,226,268
255: 267,241,254,266,253,226,268
256: 308,268,419,573
257: 232,233,258,245
258: 245,257,246
259: 441,270
260: 248,247,271
261: 273,272,279,262
262: 263,281,261
263: 262,250,281,236,249
264: 265,252,239,223
265: 264,276
266: 253,239,240,241,255
267: 241,255,254,253,277,268
268: 256,226,267,255,254
269: 270,418
270: 269,259
271: 260
272: 261,273,279,280
273: 261,272,279,280
274: 328,351,282
275: 282,283
276: 265
277: 267
278: 535,279
279: 278,261,273,272
280: 351,273,272
281: 262,263,250
282: 274,275
283: 549,380,275
284: 357,569,514,422,525
285: 538,313,352,452
286: 379,345,417,530
287: 442,518
288: 290,300,343,339,397
289: 346,515,565
290: 288,300,343,423,145
291: 547,344
292: 416,428
293: 478,393,344,339
294: 365,502,407,495,560,411
295: 439,388,550,307
296: 543,574,377,421,564
297: 440,444
298: 384,364,543,299
299: 552,298,364,402,543
300: 288,290,336,397,92,110,145,127
301: 463,423,329,436,405
302: 318,383,474,484
303: 352,557,583,341
304: 91,108,467
305: 489,487
306: 561,314,321
307: 550,340,477,295,316
308: 256,242,419,371
309: 558
310: 573,406,444,338,450
311: 474,320,499,337,456
312: 456,333,563,515,565
313: 538,285,442
314: 555,399,306,545
315: 528,365
316: 562,340,307,361
317: 483,518,452,557
318: 383,302,506,433,395
319: 368,545,489,487,446
320: 474,311,499,383,6
321: 470,306,368,548
322: 394,513
323: 498
324: 325,389
325: 342,390
326: 369,337,513
327: 390,574,551
328: 274,351,575,511,380
329: 582,301,398,405,408
330: 336,507,397,393,391
331: 229,486,424,576
332: 450,509,387
333: 312,456,375,563,337
334: 539,464,536
335: 479,564,360,421
336: 330,507,397,300,92
337: 326,375,333,311
338: 579,509,310,419,450
339: 293,344,381,397,288
340: 458,550,307,316,531
341: 415,352,303,0
342: 325
343: 288,290,426,423
344: 478,293,339,291,547,381
345: 379,286,417,431,520,497
346: 289,512,527
347: 473,382,549,366
348: 493,540,29,541,581
349: 500,480,541,376,401,540
350: 461,491
351: 536,280,328,274
352: 452,303,285,341
353: 542,425
354: 529,514,422
355: 376,438
356: 453,534
357: 284,431,569,514,379
358: 396,466,404,555
359: 495,560,418,435,578
360: 551,421,335
361: 483,316,531
362: 548,501
363: 390
364: 179,402,298,299
365: 502,294,315,407
366: 472,454,549,347,482
367: 491,76,461,507
368: 319,545,321,533,446
369: 326,3
370: 497,486,475,556,576
371: 443,308,579,396
372: 427,438,492,485,480
373: 425,523,478,393
374: 441,524,502
375: 546,513,563,337,333
376: 355,438,349,401
377: 574,467,410,384,296
378: 514,544
379: 345,286,544,357
380: 549,283,328,511,454
381: 469,547,344,339
382: 473,347,482,440
383: 318,302,320,506,6
384: 298,409,410,377
385: 465,462
386: 517,570,492,412
387: 580,566,509,332,498
388: 413,295,550,437,429
389: 
390: 327,363,325
391: 461,523,393,330,507
392: 516,468
393: 293,523,373,391,330
394: 538,322
395: 488,318,506,485
396: 358,371,566
397: 336,330,339,288,300
398: 520,486,582,329,408
399: 228,404,212,561,314
400: 531,483,557,583
401: 471,349,376,540,494
402: 364,432,299,470
403: 
404: 399,228,443,358
405: 301,329,436
406: 473,310,573,440
407: 365,294,448,411
408: 181,329,398,486,229
409: 384,109,144,410
410: 91,384,409,467,377
411: 416,448,503,294,407,560
412: 386,427
413: 388,453,439
414: 558,508,471,493
415: 341
416: 448,411,503,292
417: 345,286,530,434,497
418: 524,269,359,495
419: 573,256,308,579,338
420: 472,454,511,505,468,516
421: 360,551,574,296,335
422: 426,525,529,354,514,284
423: 463,301,290,343,436
424: 576,455,331,229,244
425: 523,373,353
426: 422,525,469,343
427: 438,372,412
428: 447,503,292,521
429: 437,388,458,550,567
430: 572,475,556,571
431: 357,569,345,582,520
432: 561,402
433: 492,485,318,570
434: 572,417,497,475
435: 535,464,359,526,578
436: 423,301,405
437: 429,17,388
438: 427,372,480,355,376
439: 295,568,577,453,413
440: 444,297,406,473,382
441: 374,532,259
442: 287,518,313,452
443: 371,242,228,404
444: 440,297,310,450
445: 335,479
446: 368,319,533
447: 428,459,465
448: 416,411,407
449: 477,577
450: 332,310,444,338
451: 58,581,508,476
452: 352,442,317,285
453: 356,568,439,413
454: 420,366,511,549,380
455: 424,576,556,571
456: 312,333,474,311,484,565
457: 575,505,462
458: 550,340,429,531,567
459: 447,521,539
460: 547,529,469
461: 391,523,350,367
462: 537,468,457,385,505
463: 423,301,525,569
464: 535,435,526,334
465: 385,447
466: 358,555,489,553
467: 574,377,410,304
468: 537,462,505,420,392,516
469: 381,460,547,529,426
470: 321,402,552,548
471: 401,494,414
472: 420,366,516,482,554
473: 347,382,406,440
474: 320,311,456,484,302
475: 556,572,434,497,370,430
476: 451
477: 449,307
478: 293,344,542,373
479: 335,564,490
480: 349,500,438,372
481: 
482: 472,366,382
483: 317,361,400,531,557
484: 512,565,456,474,302
485: 433,492,488,395,372
486: 398,370,408,331,576
487: 305,319
488: 395,27,485,500
489: 305,555,466,319,545
490: 501,510,479
491: 76,367,350
492: 433,485,386,570,372
493: 348,540,581,414
494: 401,471
495: 359,560,524,502,294,418
496: 553,580,498
497: 520,370,345,417,434,475
498: 323,387,496
499: 320,311,3
500: 349,480,488,27,541
501: 490,510,552,362
502: 365,294,374,524,495
503: 416,411,560,578,521,428
504: 
505: 575,511,457,462,468,420
506: 318,383,395
507: 336,330,391,367
508: 558,414,451
509: 579,338,332,387,566
510: 490,501,543,552,564
511: 575,505,328,380,420,454
512: 484,565,346,527,570
513: 375,546,322,326
514: 378,354,422,284,357
515: 312,289
516: 392,468,420,472,554
517: 386,527
518: 442,287,317
519: 528
520: 398,497,431,345
521: 526,578,503,428,459
522: 
523: 425,373,393,461,391
524: 374,502,418,495
525: 426,422,284,463
526: 578,521,464,435,539
527: 517,570,346,512
528: 315,519
529: 354,460,469,422
530: 286,417
531: 400,458,340,483,361
532: 441
533: 548,368,446
534: 356
535: 464,435,278
536: 351,334
537: 462,468
538: 285,313,394
539: 334,526,459
540: 348,493,349,541,401
541: 29,349,500,348,540
542: 353,478
543: 296,298,299,564,510
544: 378,379
545: 368,319,555,314,489
546: 375,513,563
547: 460,291,344,381,469
548: 533,362,321,470
549: 283,380,366,454,347
550: 458,340,307,295,388,429
551: 360,421,327,574
552: 299,470,501,510
553: 496,466,580
554: 472,516
555: 314,466,358,545,489
556: 475,370,430,576,455,571
557: 303,317,483,400,583
558: 508,414,309
559: 563
560: 359,495,294,411,503,578
561: 306,432,212,399
562: 316
563: 375,546,559,312,333
564: 335,479,296,543,510
565: 512,484,312,456,289
566: 580,387,579,509,396
567: 458,429
568: 577,453,439
569: 284,357,431,463,582
570: 386,527,512,433,492
571: 556,430,455
572: 434,475,430
573: 310,419,406,256
574: 467,377,327,296,551,421
575: 511,505,457,328
576: 424,455,486,370,556,331
577: 568,449,439
578: 526,521,359,560,503,435
579: 338,509,419,371,566
580: 387,566,496,553
581: 451,348,493
582: 329,431,569,398
583: 8,400,303,557
