0: 4,1,303,583,557,2,12
1: 0,583,11,2,12
2: 11,12,1,0
3: 415,341,4
4: 0,12,3
5: 499,13,39,6
6: 337,369,499,5,311
7: 437,429,19
8: 400,583,567,9,10
9: 10,567,8
10: 9,567,8
11: 2,12,24,1
12: 11,2,24,4,1,0
13: 25,39,499,5
14: 383,320,26
15: 40,26,16,506
16: 55,15,40
17: 30,491,350,403
18: 31,30,45
19: 7,33,47
20: 21,33,48,47,35
21: 33,20,35,22
22: 35,21,23
23: 65,22,36
24: 11,12,37
25: 13,39
26: 15,40,14
27: 318,433,28,395,485
28: 41,395,318,27,485,488
29: 500,488,43,42
30: 17,491,45,18
31: 18,64,45,32,46
32: 46,45,31,64
33: 21,20,48,47,19
34: 49
35: 22,21,20
36: 51,82,50,65,66,23
37: 38,24
38: 37
39: 13,25,499,5
40: 15,26,55,16
41: 28,506,395
42: 56,57,73,500,29,43,541
43: 500,29,72,73,56,42
44: 60,61,45,46
45: 30,491,44,18,31,32,46
46: 32,45,44,31
47: 33,20,48,64,19
48: 33,20,47,64
49: 80,117,34
50: 36,51,82,65,66
51: 36,82,50
52: 53
53: 52,54
54: 55,53
55: 70,54,40,16
56: 57,42,72,73,43
57: 56,42,348,58,541
58: 348,493,541,57
59: 76,75,336,77
60: 44,61
61: 507,367,60,44
62: 63,79,78
63: 62,79,78,97
64: 31,32,48,47
65: 66,23,36,50
66: 65,36,50
67: 68
68: 84,83,67
69: 101,85,84,83
70: 55,87,105
71: 105,88
72: 73,43,56
73: 72,43,56,42
74: 90
75: 59,129,111,93,77
76: 59,330,397,336
77: 94,95,59,75,93
78: 94,95,62,63
79: 62,63,97,131
80: 49,117,81,99
81: 80,117,99
82: 36,51,50
83: 84,68,118,100,101,85,69
84: 83,68,101,69
85: 101,69,118,83
86: 104,123
87: 105,88,102,70
88: 87,105,102,71
89: 107
90: 74,107
91: 342,126,109,108,363
92: 110,290,300,127
93: 129,111,75,94,77,112
94: 95,77,78,93
95: 94,77,78
96: 113,114
97: 63,79
98: 115,131,116,133,134
99: 80,117,81
100: 118,83,101
101: 85,69,118,100,84,83
102: 87,105,88,103
103: 104,138,102
104: 103,86,138
105: 87,88,102,70,71
106: 124
107: 90,89
108: 476,109,91,342,126
109: 451,108,91,126
110: 92,290,423,301,127
111: 129,436,93,75,112
112: 113,130,111,93
113: 112,130,114,96
114: 113,130,96
115: 98,131,116,133,134
116: 115,98,133,134,136
117: 80,49,81,99
118: 100,153,83,101,85
119: 137,154
120: 138,121
121: 139,120
122: 139
123: 141,140,86
124: 125,106
125: 124,141
126: 91,451,109,108,476
127: 301,145,463,92,110,423
128: 146,329,408
129: 436,111,93,75
130: 113,112,114
131: 115,98,79
132: 149,150
133: 134,115,98,116
134: 133,115,98,116
135: 136,152,151
136: 152,135,116
137: 154,119
138: 120,103,104
139: 121,122
140: 142,141,123
141: 142,140,123,125
142: 141,140,159
143: 144,409,160
144: 143,409,304,467
145: 301,127,582,329,463
146: 128,163,162
147: 165,163,164
148: 164,180,166
149: 132,150,151
150: 132,149,152,151
151: 149,150,152,135
152: 136,135,150,151,169
153: 118,154
154: 137,119,153
155: 172,173
156: 172,173
157: 175,227,176
158: 159,160
159: 158,142
160: 161,409,158,143
161: 179,409,160,177
162: 163,164,180,146
163: 164,162,180,146,165,147
164: 163,162,180,148,165,147
165: 147,163,164
166: 167,148
167: 166
168: 184,200,185
169: 188,170,152
170: 188,169,171
171: 188,170
172: 173,156,155
173: 172,156,155
174: 192,193,210
175: 157,227,176
176: 157,175,227
177: 161,179,196,178
178: 212,196,177
179: 161,409,177,298,410,384
180: 163,164,162,148
181: 331,197
182: 198,183
183: 182,184
184: 168,183,200
185: 186,168,202
186: 185,202,203
187: 204,203
188: 170,169,171
189: 190,205,206
190: 205,189,206,191
191: 190
192: 174,193,210
193: 174,192,210
194: 211,195,402,432
195: 211,402,194,212,364,299
196: 212,298,178,177,211
197: 214,181,213
198: 182,214
199: 215,217
200: 168,184
201: 218,202
202: 201,186,185
203: 204,187,186
204: 203,187
205: 190,189,206
206: 207,190,205,189
207: 206,252,221,238
208: 209,225,399
209: 210,208
210: 209,193,174,192
211: 195,194,212,196,364
212: 196,364,298,178,211,195
213: 424,229,197,214
214: 197,229,424,213,198
215: 217,216,199
216: 215,217
217: 215,216,199
218: 201,232,233
219: 234
220: 235
221: 237,281,222,207
222: 281,221,237
223: 238,264,252
224: 240
225: 226,208,399
226: 225,308,399
227: 157,175,176
228: 314,306,432,561,243,242
229: 455,214,424,213
230: 231,532,244
231: 230,424
232: 245,233,257,218
233: 245,232,257,218
234: 235,219
235: 234,220
236: 249,263,250,262,261
237: 221,281,222,251
238: 264,223,207,252
239: 240
240: 224,239
241: 254,267,255,266
242: 555,243,314,228,545
243: 561,242,314,228
244: 374,230
245: 232,233,257,258
246: 258
247: 248,260
248: 260,247,535,464,271
249: 236,261
250: 281,263,236,262
251: 262,281,263,237
252: 265,207,238,264,223
253: 276,266
254: 267,255,241,308,268
255: 254,267,266,241,268
256: 308,268,443,371,396
257: 245,232,233
258: 246,245
259: 418,270,359
260: 248,247,464,271
261: 262,236,249,263
262: 261,251,236,281,263,250
263: 281,250,236,262,261,251
264: 238,223,252,265
265: 252,264,276
266: 255,241,253
267: 254,255,241,277,419,268
268: 256,308,443,254,267,255,371
269: 435,270,535,464,334
270: 435,269,359,259,535
271: 464,334,248,260,278,279
272: 351,279,273,280
273: 280,380,272
274: 282,549,347,275
275: 283,406,282,274,473
276: 253,265
277: 573,419,267
278: 351,279,271,536
279: 272,351,278,271
280: 273,380,272,351,328,511
281: 263,250,222,262,251,221,237
282: 274,347,275
283: 275,406,310,473,440
284: 569,357,354,514,422,525
285: 352,452,538,313
286: 379,417,345
287: 562,518
288: 339,300,381,343,290
289: 346,515,565,312
290: 92,110,423,343,300,288
291: 478,547,344
292: 428,416
293: 393,478,373,339
294: 495,418,560,365,407,411
295: 307,550,388,439,477
296: 543,384,377,421,564
297: 440,481,444
298: 212,196,364,179,543,384
299: 552,364,195,470,510,543
300: 336,288,92,290
301: 127,145,329,110,405
302: 318,433,484,474,320
303: 0,452,583,557,352
304: 363,327,144,467
305: 489,487
306: 321,314,228,432,402
307: 550,295,477,316,340
308: 256,268,443,254,226
309: 414,558
310: 283,406,440,573,444
311: 456,474,337,6
312: 565,333,563,515,289
313: 442,285
314: 321,306,228,368,243,242,545
315: 365,502,528
316: 307,562,361,340
317: 452,518,483,557
318: 433,27,302,383,28,395
319: 489,545,368,487,446
320: 383,14,474,302
321: 314,306,368,470,533,548
322: 513,394,415
323: 332,387,498
324: 325,389
325: 324,342,363,390
326: 375,513,415,337,369
327: 304,390,574,467,551
328: 575,505,351,280,380,511
329: 301,145,582,408,128
330: 393,397,391,507,76
331: 576,181,370,486
332: 509,323,450
333: 312,375,563,337,456
334: 464,271,269,526,539,536
335: 421,360,479
336: 300,397,59,76
337: 6,369,326,375,333,311
338: 573,450,579,509
339: 288,381,344,397,293
340: 458,531,316,307,550,361
341: 352,3,415
342: 91,108,389,325
343: 469,426,381,288,290,423
344: 547,381,291,478,339
345: 520,379,286,417,497
346: 527,289,565,512
347: 366,382,282,274,549,473
348: 493,58,540,541,57
349: 401,376,480,500,541
350: 461,367,17,491
351: 272,278,279,536,328,575,280
352: 285,341,452,303
353: 542,425
354: 529,514,422,284
355: 438
356: 568,534,453
357: 569,284,514,379,431
358: 580,553,466,396,404
359: 435,270,418,560,259,578
360: 335,551
361: 316,340,531,518,483
362: 552,548,501
363: 304,390,91,325
364: 212,298,211,195,543,299
365: 315,502,495,294
366: 347,382,454,549,472
367: 350,461,507,61,491
368: 321,314,545,319,533,446
369: 337,6,499,326
370: 497,475,520,486,576,331
371: 579,566,396,419,256,268
372: 485,492,488,438,427,480
373: 523,425,393,293
374: 244,502,441,524
375: 326,563,513,337,333
376: 349,401,480,438
377: 574,410,296,384,421
378: 514,544
379: 544,286,357,345
380: 273,280,328,511,454,549
381: 547,344,469,343,339,288
382: 366,347,482,473,440
383: 14,320,318,395
384: 543,296,179,298,377,410
385: 465,462
386: 517,570,492,412
387: 509,323,566,580,498
388: 550,295,413,437,429
389: 342,324
390: 363,327,325
391: 461,523,393,330,507
392: 516,468
393: 330,397,293,373,523,391
394: 538,322
395: 41,28,506,383,318,27
396: 371,566,256,443,358
397: 393,330,339,336,76
398: 486,408,431,520,582
399: 561,208,226,225
400: 583,8,531,483
401: 349,376,540,494,471
402: 195,194,470,432,306
403: 413,17
404: 555,443,358
405: 301,436
406: 275,283,310,573
407: 294,448,411
408: 486,398,329,128
409: 161,179,160,143,144,410,467
