0: 1,303,583,557
1: 0,583,10,11,2,12
2: 11,12,583,10,1
3: 415,341,4
4: 303,12,3
5: 39,499,13,25,6,369
6: 337,369,499,5
7: 567,19,437,429
8: 458,531,567,400,10,9
9: 8,567,10
10: 400,583,8,9,1,2
11: 2,12,24,1
12: 11,2,24,4,1
13: 25,499,5,39
14: 383,320,26
15: 40,26,16,383
16: 15,40,55
17: 350,30,491
18: 31,30,45
19: 7,33,47
20: 21,33,48,35,47
21: 33,20,35
22: 23
23: 65,22
24: 11,12,37
25: 13,5,39
26: 15,40,14
27: 318,433,28,41,485
28: 318,27,41,395,485
29: 43,488,73,42,500
30: 45,491,17,18,31
31: 18,46,32,30,45,64
32: 31,46,45,64
33: 21,20,48,35,47,19
34: 49
35: 21,33,20
36: 51,82,50,65,66
37: 38,24
38: 37
39: 5,13,25
40: 15,26,16,55
41: 73,395,27,28,488
42: 56,57,72,43,29,500,541,58
43: 488,29,73,56,57,42,72,500
44: 60,46
45: 30,491,18,31,46,32
46: 31,32,45,44
47: 33,20,48,64,19
48: 33,20,47,64
49: 117,34,97,80
50: 36,51,65,66
51: 36,82,50,65
52: 53
53: 52,54
54: 55,53
55: 54,40,16
56: 57,42,72,73,43
57: 56,42,43,541,58
58: 348,541,57,42
59: 75,77,336,76
60: 44,61
61: 507,367,60
62: 63,79
63: 62,79
64: 31,32,48,47
65: 66,23,36,51,50
66: 65,36,50
67: 68
68: 84,67
69: 101,85
70: 87
71: 88
72: 56,42,73,43
73: 41,506,43,29,56,72
74: 581,90
75: 59,77,93,129,111,94
76: 330,397,59,336
77: 59,75,93,94
78: 94,95
79: 97,62,63,131
80: 97,81,117,49,99
81: 97,80,117,99
82: 36,51
83: 84,100,118,101
84: 83,68,101
85: 101,69,118,153
86: 104,123
87: 70,102,105
88: 102,105,71
89: 107
90: 107,74
91: 342,109,363
92: 110,127,423,290
93: 75,77,129,111,94,95,112
94: 95,78,75,77,93
95: 94,78,93,112
96: 113,114
97: 81,80,79,49
98: 115,116,134
99: 81,80,117
100: 118,83,101
