0: 483,400,1,557,303
1: 400,2,11,583,0,303,12
2: 1,11,583,12,24
3: 557,452,303,4,352
4: 303,12,3
5: 369,499,13,6,40
6: 326,415,40,369,5
7: 437,403,19
8: 437,388,550,9,429
9: 10,429,8,458,550
10: 9,458,400,583
11: 1,2,37,12,24
12: 303,4,1,2,11,24
13: 25,39,5,499
14: 26,337,40,333,311
15: 16
16: 55,70,15
17: 30,491,367,461,350
18: 31,30,491,45
19: 35,33,7
20: 48,21,35,33
21: 35,33,20
22: 23
23: 22,65
24: 2,11,37,12
25: 13,39,499
26: 14,40
27: 28,484,456,565,512
28: 27,41,302,484
29: 485,492,43,42,372
30: 17,491,45,18,31
31: 18,30,45,46,47,32,64
32: 47,64,45,46,31
33: 21,19,35,20
34: 49
35: 21,19,33,20
36: 50,65,66,51
37: 38,11,24
38: 37
39: 25,13,499
40: 6,337,5,26,14
41: 28,302,318,433
42: 57,488,29,43
43: 485,29,488,42
44: 60,330,61,336
45: 46,30,491,18,31,32
46: 45,491,31,32
47: 48,32,64,31
48: 47,64,20
49: 34,80,117
50: 36,65,66,51
51: 82,65,36,50
52: 53,54
53: 54,52
54: 53,52,55,70
55: 16,70,54
56: 72,488,395
57: 42,58,89
58: 500,57,107,89
59: 76,300,75
60: 44,330,507,61,336
61: 330,507,367,44,60
62: 63,131
63: 62,131,79
64: 48,47,32,31
65: 23,66,51,36,50
66: 65,36,50
67: 68
68: 67,84
69: 154,85
70: 55,16,54,87
71: 88,105,102
72: 56,383,506,73,395
73: 383,72
74: 90,348,541
75: 94,93,111,95,129,300,59
76: 288,290,300,59
77: 94,95
78: 94,93,95,436
79: 97,63
80: 49,81,117,99
81: 80,117,99
82: 51
83: 84,101,118,100
84: 83,101,68
85: 154,137,69
86: 104
87: 88,105,70
88: 105,87,71,102
89: 107,58,57,90
90: 74,107,89,125
91: 389,342,109
92: 525,463,423,110
93: 94,75,111,95,129,78
94: 75,93,95,77,78
95: 94,75,93,111,77,78,436
96: 114
97: 79
98: 115,116,134
99: 117,80,81
100: 118,83,101
101: 84,83,118,100
102: 103,88,71
103: 102,104
104: 86,103
105: 88,87,71
106: 581,124
107: 89,58,90
108: 558,476,309,109,126,414
109: 508,126,108,91
110: 582,92,463,127
111: 75,93,95,129,405,329,436
112: 113,130,436,405
113: 112,130,114
114: 96,113,130
115: 98,116,131
116: 115,98,134,133
117: 99,49,80,81
118: 100,83,101
119: 137
120: 138,121
121: 120,139,122
122: 121,139
123: 140,141,142
124: 125,106
125: 124,90
126: 508,109,414,108,476
127: 145,463,582,110,398
128: 146,576,331
129: 75,93,111,301,405,329
130: 113,112,114
131: 62,63,115
132: 149
133: 134,116
134: 133,98,116
135: 152,151,136
136: 135,152
137: 154,85,119
138: 120
139: 121,122
140: 123,141,142
141: 142,123,140
142: 159,141,123,140
143: 451,144,161,160,409
144: 143,451,581,160
145: 463,127,431,520,398
146: 128,147,164,165,162,163
147: 331,408,146,165,163
148: 166,167,180
149: 150,132
150: 149,152,151
151: 135,152,150,169
152: 135,151,136,150
153: 154
154: 137,85,153,69
155: 172,173
156: 173
157: 227,175
158: 160,159,176
159: 142,158
160: 161,158,143,144,409
161: 160,143,409,179
162: 180,163,146
163: 162,180,147,146,164,165
164: 165,146,163
165: 164,147,146,163
166: 148,167
167: 148,166,180
168: 183,184,185
169: 170,188,151
170: 169,188
171: 188
172: 173,155
173: 172,155,156
174: 192,209,210,193
175: 176,157,227
176: 175,158
177: 178
178: 212,196,177
179: 409,304,363,161,467
180: 162,163,148,167
181: 214,197,455,213
182: 183,198,184
183: 182,168,200,184
184: 200,183,182,168
185: 202,168
186: 203
187: 204,203
188: 169,170,171
189: 206,205
190: 206,205,191
191: 190
192: 209,210,193,174
193: 209,210,192,174
194: 402,364,470,211
195: 211,543,296,299
196: 212,178,467
197: 214,181,424
198: 182
199: 524,215,244,418
200: 184,183
201: 202,218
202: 201,185
203: 186,187
204: 187
205: 206,189,190
206: 189,190,207,205
207: 206
208: 225,432
209: 210,193,192,174
210: 209,193,192,174
211: 470,195,194,543,364
212: 196,178,467,410
213: 229,532,214,181
214: 197,181,213,532,424
215: 524,199,216
216: 217,441,215
217: 216,441,532
218: 232,201
219: 234,235,220
220: 219,235
221: 237,222,281,251
222: 281,221,237
223: 238,252
224: 240
225: 399,208,432,561,226
226: 561,225,555
227: 157,175
228: 243,548,368,242,533
229: 213,532,522
230: 231,502,524,244
231: 230,528,315,502
232: 245,233,218,258
233: 245,232,257
234: 219,235
235: 219,234,220
236: 250,249,263
237: 221,222,281,251
238: 252,223,264
239: 240
240: 224,239
241: 308,266,254,267,255,443
242: 368,314,243,228
243: 321,548,228,242
244: 524,199,230,495,418
245: 232,233,258,535
246: 258,535
247: 260,248,271
248: 247
249: 236,279,272,273
250: 236,262,263
251: 221,237,252,264
252: 238,223,251,264
253: 264,265,266
254: 277,267,255,268,241,443,404
255: 277,254,267,268,241,443
256: 466,404,268,358
257: 233
258: 246,245,232,535
259: 435,526,270,464,334
260: 247,279,271
261: 262
262: 263,250,261
263: 262,281,250,236
264: 253,265,251,238,252
265: 253,264,276
