x,y,z,type
-110.248,32.8241,0,default
27.1566,-5.36207,0,default
-15.4062,-13.002,0,default
29.0663,108.562,0,default
-24.1478,1.19644,0,default
65.2067,-1.7259,0,default
-48.9132,10.4513,0,default
91.149,-8.0814,0,default
-76.5153,1.91384,0,default
127.261,2.22364,0,default
-104.546,-69.147,0,default
163.022,8.67343,0,default
-62.3952,-85.3849,0,default
0.110289,-13.375,0,default
8.63265,-28.1082,0,default
-85.035,-30.6548,0,default
-7.43628,-28.6158,0,default
-27.4348,78.7364,0,default
32.158,-13.897,0,default
86.5759,-51.3003,0,default
-32.4314,-14.5536,0,default
50.9831,-2.28081,0,default
57.4295,-16.3231,0,default
-49.4214,24.4879,0,default
-49.8706,-15.2211,0,default
52.4346,20.3153,0,default
76.2289,-15.9946,0,default
-91.463,33.0342,0,default
-62.0452,-27.2403,0,default
112.689,12.476,0,default
93.6064,-23.4731,0,default
-116.052,17.4226,0,default
-112.965,-14.471,0,default
144.151,10.6532,0,default
141.694,-6.82637,0,default
-144.517,20.0791,0,default
-129.506,-19.5621,0,default
11.8425,36.0847,0,default
2.65313,-44.272,0,default
16.9733,51.7435,0,default
28.78,-24.5724,0,default
-37.4688,28.6562,0,default
-14.0439,-44.5918,0,default
75.3104,47.894,0,default
46.5774,-30.7719,0,default
-41.5847,38.2032,0,default
-29.713,-40.0378,0,default
24.7748,122.081,0,default
65.5898,-31.3651,0,default
-84.7862,51.1904,0,default
-93.6598,-40.3544,0,default
-53.8276,150.231,0,default
100.212,-40.3476,0,default
-103.139,49.4568,0,default
107.253,88.0198,0,default
128.746,21.6342,0,default
135.939,-49.7288,0,default
-128.898,29.9709,0,default
-115.949,-33.1898,0,default
145.079,29.5278,0,default
149.884,-39.7857,0,default
-56.2177,-58.2988,0,default
-152.951,-29.5423,0,default
6.97924,63.7954,0,default
15.4999,-54.1458,0,default
1.46559,47.233,0,default
-6.80956,-60.9196,0,default
23.4164,69.3795,0,default
25.2008,-76.6024,0,default
-39.9946,68.9347,0,default
-25.6126,-57.115,0,default
48.54,87.8519,0,default
54.998,-46.9322,0,default
-57.3593,39.5071,0,default
-89.2737,-56.9433,0,default
74.6889,77.3469,0,default
101.751,-59.1648,0,default
-94.9944,66.5257,0,default
-106.825,-50.9039,0,default
-65.3076,26.5593,0,default
117.148,-48.7448,0,default
-113.177,64.6677,0,default
-54.7037,-141.529,0,default
-30.3424,168.268,0,default
132.824,-68.7674,0,default
-137.427,58.8966,0,default
-120.68,-66.1236,0,default
-13.3898,74.7432,0,default
-4.3009,-80.2608,0,default
12.0549,83.2402,0,default
12.5462,-87.0165,0,default
110.468,43.3758,0,default
-20.6942,-73.9978,0,default
30.787,85.7655,0,default
45.0162,-59.8413,0,default
-58.6444,69.6677,0,default
43.7842,47.0559,0,default
65.6051,92.0527,0,default
