x	y	z
-69.9979	-211.855	0
-29.9973	-219.464	0
-10.1094	-170.132	0
7.31809	-157.858	0
30.1901	-130.108	0
39.2431	-150.599	0
89.9371	-110.049	0
-8.54827	190.988	0
-30.0617	-202.376	0
-35.1754	-168.357	0
3.27767	-142.597	0
47.831	-132.026	0
56.7733	-147.134	0
70.105	-196.332	0
30.0228	209.789	0
-141.029	-93.7021	0
-70.8852	-125.232	0
-50.0174	-150.022	0
-37.7531	-135.648	0
15.2762	-98.1333	0
21.9901	-113.77	0
120.575	-109.248	0
109.93	-130.142	0
129.945	-129.477	0
-69.7848	-178.907	0
-118.832	-90.3402	0
-54.7083	-130.699	0
20.6508	-68.0451	0
31.6855	-99.7327	0
42.5688	-85.2624	0
58.2114	-49.0177	0
119.398	-52.5575	0
150.396	-69.6657	0
165.776	-95.0308	0
-109.826	-70.0444	0
-131.826	-78.1803	0
-79.6121	-90.7337	0
-58.9268	-68.2168	0
-29.7408	-61.8431	0
2.79639	-66.9224	0
37.421	-70.3342	0
104.064	-60.7037	0
135.19	-60.5257	0
189.481	-50.0201	0
150.25	-29.6624	0
-222.444	-10.0116	0
-190.516	-51.7547	0
-67.1479	-82.1841	0
-94.2388	-25.9532	0
-41.9835	-70.7993	0
-48.861	-36.2338	0
40.7095	-38.1108	0
46.6297	-1.62864	0
88.2011	-51.4727	0
103.232	-27.4514	0
144.983	5.50584	0
131.403	-10.2409	0
-171.335	-16.2064	0
-141.823	-34.298	0
-141.292	-17.146	0
-110.439	-18.5934	0
-59.9073	-25.2592	0
29.5683	-23.5127	0
30.4989	-6.87616	0
77.8093	11.3593	0
103.666	-44.0961	0
127.56	28.8131	0
121.581	60.4884	0
-169.501	49.3682	0
-170.578	1.23659	0
-126.073	-9.38698	0
-110.963	-2.23146	0
-75.8988	-23.9336	0
-26.9125	23.633	0
-10.3947	27.4829	0
0.200297	-0.989938	0
97.869	35.4354	0
87.728	62.2652	0
120.839	78.1136	0
129.743	10.8379	0
-200.114	30	0
-155.527	9.96268	0
-122.293	25.3246	0
-40.5524	34.1474	0
-43.5516	20.6014	0
-17.4533	71.207	0
5.96533	109.254	0
-0.599079	76.3362	0
74.0927	72.8996	0
107.753	87.0297	0
169.898	29.9482	0
-130.047	50.2737	0
-114.768	58.1744	0
-105.158	31.2753	0
-23.7024	39.1211	0
-13.2011	11.1909	0
31.6755	88.4342	0
55.1383	49.5883	0
76.5165	89.7092	0
92.6526	95.374	0
35.8032	26.9806	0
-125.443	72.2778	0
-82.799	52.5166	0
-70.2599	40.5308	0
-41.5104	97.8553	0
-25.6209	99.2549	0
-9.61637	101.949	0
36.8575	139.397	0
71.5451	169.213	0
70.1757	185.22	0
-90.2459	110.03	0
-109.794	90.1213	0
-49.5484	145.074	0
-41.9338	130.617	0
8.61537	160.184	0
24.3188	167.119	0
