
Microenvironment summary: 
microenvironment: 
Microenvironment_private_data:
temporary_density_vectors1:
0.000506801 0.128232 
0.000534502 0.128916 
0.000591308 0.126925 
0.000680103 0.117838 
0.000805394 0.101451 
0.000973552 0.0818305 
0.00119314 0.0627995 
0.00147538 0.0464725 
0.00183473 0.03351 
0.00228966 0.0237399 
0.00286369 0.0166462 
0.00358666 0.0116501 
0.0044964 0.00824046 
0.00564083 0.00601889 
0.00708074 0.0047057 
0.00889321 0.00413282 
0.011176 0.00423784 
0.0140532 0.00506685 
0.0176817 0.00679099 
0.0222595 0.0097411 
0.0280343 0.0144625 
0.0353112 0.0217838 
0.0444549 0.0328604 
0.0558761 0.0490495 
0.0699771 0.0711812 
0.0870063 0.0971004 
0.106723 0.115465 
0.127711 0.0973899 
0.146243 0.0717459 
0.155245 0.0498597 
0.146776 0.0338693 
0.1288 0.0229257 
0.10841 0.0156519 
0.0893589 0.0108725 
0.0730874 0.00773836 
0.0598647 0.00567933 
0.0494737 0.00432954 
0.0415475 0.00346258 
0.035715 0.00294435 
0.0316551 0.00270096 
0.0291101 0.00269758 
0.0278817 0.00292413 
0.0278202 0.00338386 
0.02881 0.00408144 
0.030753 0.00500779 
0.0335475 0.00612027 
0.0370636 0.0073208 
0.0411134 0.008442 
0.0454203 0.0092609 
0.0495962 0.00956295 
0.0531455 0.00925183 
0.0555223 0.00842672 
0.0562624 0.00730494 
0.0551624 0.00611178 
0.0523899 0.00501618 
0.0483729 0.00411608 
0.0436201 0.00345108 
0.0385873 0.0030222 
0.0336189 0.00280852 
0.0289405 0.00277784 
0.024679 0.00289182 
0.0208885 0.00310798 
0.0175756 0.00338049 
0.0147175 0.00366201 
0.0122762 0.00390777 
0.0102068 0.00408195 
0.00846319 0.00416491 
0.00700125 0.00415823 
0.00578036 0.00408483 
0.00476419 0.00398341 
0.00392084 0.00389932 
0.00322264 0.00387477 
0.0026459 0.00394024 
0.00217041 0.00410775 
0.00177907 0.00436619 
0.0014575 0.00467931 
0.00119363 0.00498862 
0.000977362 0.00522363 
0.000800297 0.00532003 
0.000655453 0.00524073 
0.000537046 0.00498754 
0.000440298 0.0045943 
0.00036127 0.00411004 
0.000296724 0.00358379 
0.000244002 0.00305582 
0.00020093 0.00255494 
0.000165734 0.00209918 
0.000136966 0.00169788 
0.000113452 0.00135404 
9.42379e-05 0.00106625 
7.85537e-05 0.000830315 
6.57776e-05 0.000640528 
5.54105e-05 0.000490551 
4.70534e-05 0.000374079 
4.03897e-05 0.000285273 
3.51707e-05 0.00021901 
3.12048e-05 0.000171017 
2.83482e-05 0.000137914 
2.64983e-05 0.000117206 
2.55894e-05 0.000107257 
0.000503186 0.148129 
0.000530642 0.152211 
0.000586943 0.154179 
0.000674934 0.143841 
0.00079907 0.12089 
0.000965639 0.0943651 
0.0011831 0.0701799 
0.0014625 0.0505705 
0.00181811 0.0356953 
0.00226813 0.0248704 
0.00283573 0.017216 
0.00355025 0.0119293 
0.00444891 0.00837135 
0.00557883 0.00607343 
0.00699974 0.00471788 
0.0087874 0.0041155 
0.011038 0.00419101 
0.0138737 0.00498118 
0.0174498 0.00665006 
0.0219636 0.00952687 
0.0276649 0.0141766 
0.0348692 0.0215208 
0.0439702 0.0330348 
0.0554503 0.0510471 
0.0698756 0.0790149 
0.0878442 0.120534 
0.109791 0.168868 
0.135367 0.120884 
0.161638 0.0796994 
0.178544 0.0520336 
0.162173 0.0342706 
0.136458 0.0229304 
0.111482 0.0156612 
0.0902037 0.0109649 
0.0729963 0.00789932 
0.059454 0.00587723 
0.0490113 0.00453836 
0.0411381 0.0036672 
0.0353934 0.00314027 
0.0314293 0.002893 
0.0289814 0.00289941 
0.0278542 0.00315925 
0.0279062 0.00368817 
0.0290344 0.00450679 
0.0311573 0.00562423 
0.0341941 0.00701253 
0.0380391 0.00857132 
0.0425275 0.0100922 
0.0473939 0.011253 
0.0522302 0.0116975 
0.056463 0.0112396 
0.059394 0.0100689 
0.0603637 0.008545 
0.0590548 0.00699326 
0.0557478 0.00562467 
0.0510652 0.00454077 
0.0456678 0.00376807 
0.0400898 0.00329119 
0.0346962 0.00307532 
0.029703 0.00307784 
0.0252157 0.00325236 
0.0212663 0.00354867 
0.0178425 0.00391178 
0.0149073 0.00428274 
0.0124123 0.00460327 
0.0103053 0.00482473 
0.00853524 0.00491937 
0.00705456 0.00488895 
0.00582031 0.0047655 
0.00479454 0.00460293 
0.00394425 0.00446358 
0.00324102 0.00440491 
0.00266059 0.00446897 
0.00218237 0.0046744 
0.00178902 0.00501017 
0.00146593 0.00543134 
0.00120089 0.00585987 
0.000983722 0.00619595 
0.000805938 0.00634442 
0.000660506 0.00625081 
0.000541606 0.00592387 
0.000444432 0.0054193 
0.000365027 0.00480903 
0.000300141 0.00415861 
0.000247107 0.00351756 
0.000203747 0.00291861 
0.000168283 0.00238061 
0.000139267 0.00191216 
0.000115522 0.00151472 
9.60963e-05 0.00118506 
8.02184e-05 0.000917087 
6.72674e-05 0.000703259 
5.67444e-05 0.000535577 
4.82507e-05 0.0004063 
4.14699e-05 0.000308397 
3.61534e-05 0.000235797 
3.21095e-05 0.0001835 
2.91944e-05 0.000147591 
2.73056e-05 0.000125204 
2.63773e-05 0.000114471 
0.000496042 0.187791 
0.000523016 0.202034 
0.000578318 0.218096 
0.000664728 0.205173 
0.000786587 0.163284 
0.000950026 0.119742 
0.00116328 0.0842723 
0.00143711 0.0580575 
0.00178537 0.0395571 
0.00222574 0.0268166 
0.00278067 0.0181753 
0.00347858 0.0123894 
0.00435546 0.00858151 
0.00545682 0.00615694 
0.00684029 0.00473115 
0.00857894 0.00407804 
0.0107656 0.00409907 
0.0135185 0.00481238 
0.0169884 0.00636309 
0.0213691 0.00906063 
0.0269102 0.0134593 
0.0339366 0.0205232 
0.0428775 0.0319902 
0.0543116 0.0512913 
0.0690461 0.0862778 
0.0882547 0.158619 
0.113703 0.360167 
0.147934 0.159101 
0.193174 0.0872242 
0.241119 0.0526642 
0.193711 0.0337253 
0.14903 0.0225244 
0.115403 0.0155972 
0.0906273 0.0111768 
0.0721863 0.00827793 
0.0583442 0.00633042 
0.0479608 0.00500445 
0.0402673 0.00411367 
0.0347289 0.00355861 
0.0309672 0.00329415 
0.0287145 0.00331188 
0.0277855 0.0036312 
0.0280567 0.00429375 
0.0294506 0.0053558 
0.0319194 0.00687165 
0.0354265 0.00885851 
0.0399198 0.0112324 
0.0452921 0.013715 
0.0513206 0.0157531 
0.0575821 0.0165912 
0.063361 0.0157298 
0.0676144 0.0136731 
0.0691628 0.0111814 
0.0673184 0.00881282 
0.0627298 0.00685049 
0.056538 0.00538235 
0.0497474 0.00439317 
0.0430355 0.00382645 
0.0367841 0.00361624 
0.0311697 0.00369858 
0.0262437 0.00401154 
0.0219887 0.00449012 
0.018353 0.00506049 
0.015271 0.00563801 
0.0126737 0.0061327 
0.010495 0.00646428 
0.0086745 0.00658398 
0.00715795 0.00649322 
0.00589804 0.00624664 
0.00485381 0.00593519 
0.00399015 0.00566131 
0.00327717 0.00551747 
0.0026896 0.00557197 
0.00220611 0.00585923 
0.00180882 0.00637072 
0.00148277 0.00704472 
0.00121547 0.00775971 
0.000996531 0.0083445 
0.000817333 0.00862249 
0.00067074 0.00849126 
0.00055086 0.00798359 
0.000452835 0.00721594 
0.000372673 0.00631708 
0.0003071 0.00538922 
0.000253435 0.00449996 
0.00020949 0.00368833 
0.00017348 0.00297347 
0.000143957 0.00236147 
0.000119742 0.00185008 
9.98823e-05 0.00143188 
8.36084e-05 0.00109653 
7.02996e-05 0.000832431 
5.94579e-05 0.00062794 
5.06849e-05 0.000472191 
4.36646e-05 0.000355586 
3.81487e-05 0.000270025 
3.39454e-05 0.000208965 
3.0911e-05 0.000167365 
2.89426e-05 0.000141584 
2.79746e-05 0.00012927 
0.000485535 0.243593 
0.000511803 0.282764 
0.000565644 0.345008 
0.000649737 0.327498 
0.000768265 0.233829 
0.000927126 0.156433 
0.00113424 0.102686 
0.00139992 0.0671522 
0.00173745 0.0439977 
0.00216374 0.0289562 
0.00270021 0.0191866 
0.00337392 0.0128526 
0.00421905 0.00878033 
0.00527875 0.00622582 
0.00660752 0.00472788 
0.00827436 0.00401806 
0.0103668 0.00396962 
0.0129964 0.00457461 
0.0163058 0.0059448 
0.0204792 0.00833799 
0.0257566 0.0122191 
0.0324569 0.0183773 
0.0410153 0.0281419 
0.0520512 0.0437494 
0.0665063 0.0687918 
0.0859559 0.107517 
0.113415 0.154572 
0.155732 0.108224 
0.231776 0.0701891 
0.421882 0.0457927 
0.232317 0.0307495 
0.156835 0.0214185 
0.115127 0.0155096 
0.0883467 0.0116495 
0.0696735 0.00902605 
0.0561234 0.0071728 
0.0461563 0.00583484 
0.0388717 0.00488191 
0.0336982 0.0042554 
0.030257 0.00394006 
0.0282957 0.00395278 
0.0276516 0.00434135 
0.0282311 0.00518779 
0.0299947 0.00660981 
0.0329455 0.00875084 
0.0371159 0.0117398 
0.0425457 0.0155873 
0.0492414 0.0199774 
0.0570974 0.02396 
0.0657501 0.0258055 
0.0743424 0.0239184 
0.0812508 0.0199007 
0.0841066 0.0154891 
0.0810248 0.0116412 
0.0738466 0.00868162 
0.0648989 0.00660821 
0.055766 0.00529992 
0.0472677 0.00461819 
0.0397299 0.00444373 
0.0332165 0.00468084 
0.0276709 0.00524718 
0.0229907 0.00605809 
0.0190626 0.00701106 
0.0157783 0.00797671 
0.0130401 0.00880404 
0.0107625 0.00934688 
0.00887188 0.00950925 
0.00730532 0.00928969 
0.00600949 0.00879055 
0.00493929 0.00817895 
0.00405675 0.00763501 
0.00332998 0.00731526 
0.00273226 0.00733481 
0.00224126 0.00775858 
0.00183836 0.00858918 
0.00150806 0.0097445 
0.00123749 0.0110297 
0.00101599 0.0121306 
0.000834723 0.0126831 
0.000686422 0.0124618 
0.000565085 0.011578 
0.000465785 0.0102973 
0.000384479 0.00886459 
0.00031786 0.00744352 
0.000263227 0.0061248 
0.000218379 0.00495155 
0.000181527 0.00393937 
0.000151216 0.00308815 
0.00012627 0.00238841 
0.000105737 0.00182509 
8.88466e-05 0.00138028 
7.4981e-05 0.00103527 
6.36431e-05 0.000772093 
5.44356e-05 0.000574534 
4.70428e-05 0.000428654 
4.12168e-05 0.000322974 
3.67659e-05 0.000248414 
3.35459e-05 0.000198104 
3.1454e-05 0.000167153 
3.04243e-05 0.000152438 
0.000471908 0.299756 
0.000497264 0.387715 
0.000549222 0.615836 
0.000630331 0.588605 
0.000744569 0.327512 
0.000897542 0.194925 
0.00109675 0.11939 
0.00135198 0.074613 
0.00167575 0.0473551 
0.00208399 0.0304482 
0.00259681 0.0198261 
0.00323955 0.0131068 
0.00404407 0.00886382 
0.00505047 0.00623267 
0.00630918 0.00469179 
0.00788381 0.00393862 
0.00985473 0.00382086 
0.0123239 0.00430226 
0.0154213 0.00545264 
0.0193142 0.00745803 
0.02422 0.0106503 
0.0304262 0.0155545 
0.0383223 0.0229391 
0.0484532 0.0337937 
0.0616125 0.0489522 
0.0790069 0.0674778 
0.102517 0.0817491 
0.134918 0.068543 
0.178791 0.0510678 
0.226216 0.0369153 
0.179335 0.0269665 
0.13603 0.020305 
0.104242 0.0158463 
0.0814188 0.0127439 
0.0648112 0.0104445 
0.0525715 0.00864535 
0.0435306 0.00721256 
0.0369388 0.00610428 
0.0323038 0.00532163 
0.0292993 0.00488824 
0.0277141 0.00485027 
0.0274237 0.0052885 
0.0283745 0.00633714 
0.0305756 0.00820458 
0.0340947 0.0111872 
0.0390565 0.0156505 
0.0456351 0.021909 
