0: 85,165,204,14,428,188,242,255,207,479,50
1: 482,396,82,466,375,403,407,50,325,331
2: 84,379,7,312,95,948
3: 202,159,485,283,330,279,60,140
4: 104,377,194,266,464,499,452,8
5: 210,307,354,366,134,40,357,167,304,316,422,26
6: 361,376,130,147
7: 379,369,413,2,84,93,312
8: 164,276,287,4,266,162,326,337,499,44,206
9: 53,358,214,166,124,66,303,155,411,127,239,292
10: 59,440,184,227,218,251,473,303,155,41,160,224,411,166
11: 12,477,175,487,193,17,352,219,300,64
12: 11,477,175,17,300,64,49,131,111,424,123
13: 68,108,438,447,360,289,459,319,38,297,436,338,22
14: 0,85,165,428,415,334,270,345,213,342,242
15: 45,116,148,252,97,437,212,161,427
16: 420,151,143,363,434,469,224,453,433,269,102,385
17: 487,171,193,352,243,315,78,219,11,12,33,64
18: 68,108,438,414,494,247,364,20,289
19: 441,103,79,88,296,230,121,156,20,301
20: 156,447,228,360,289,296,230,121,364,19,18,301
21: 373,100,332,144,157,475,38,22,404,270,429,213
22: 223,311,436,338,163,13,475,38,297,21,489,415,429
23: 220,401,458
24: 120,443,348,119,96,483
25: 168,346,141,307,474,366,305,316,271,497,81,69
26: 372,305,316,422,134,40,304,307,474,5,366
27: 468,458,321,220,31,54,191,476
28: 391,273,395,418,132,400,362
29: 23,220,261
30: 51,374,236,401,472,73,196
31: 54,191,318,136,27,321,258,48,125,467,241,205
32: 498,209,426,201,310,47,374,468,196,321,125,191
33: 308,300,419,390,64,17,315,78,219,299,494,340
34: 475,319,38,297,77,108,91,459,221,229,404,456,332
35: 288,115,381,410,280,328,203,70,199
36: 258,125,492,345,311,498,209,321,489,136
37: 197,377,253,464
38: 34,475,319,297,108,13,91,459,229,338,22,21,332
39: 410,280,341,63,391,400,70,409,199
40: 134,357,491,167,417,99,183,304,198,210,5,26
41: 160,224,453,411,433,251,10,59,440,184,303,469,166
42: 388,386,638
43: 264,95,370,388
44: 337,499,117,452,245,8,159,485,206
45: 15,116,148,186,252,97,437,355,142,427
46: 353,323,394,368,281,293,129,367
47: 73,201,310,301,374,309,498,32,426,196
48: 258,125,336,345,31,191,318,136,241,435,369,205
49: 55,294,290,131,111,424,455,12,175,300,72,177
50: 207,403,407,479,0,428,481,82,466,255,1,331
51: 30,236,401,472,56,74
52: 101,298,254,455,276,432,406,408,72,131
53: 9,358,214,166,160,224,453,411,182,385,380,292
54: 31,191,318,136,468,27,220,476,467
