0: 165,14,188,342,85,435,479,50,428,204
1: 482,396,325,403
2: 948,312,7,286
3: 138,330,279,283,60,202,485,128,140
4: 104,266,194,878,114,499,452
5: 40,307,134,366,183,357,65,210,354,316,26,474
6: 130,671,147,361
7: 84,93,286,379,413,256,312,2
8: 337,499,44,266,464,162,206,287
9: 166,358,214,155,53,402,124,127,239,493,282,58
10: 303,440,227,392,184,59,469,41,224,411
11: 12,49,175,424,17,193,352,219,64
12: 11,49,175,424,352,131,300,64,290,111
13: 68,108,18,107,447,360,289,459,319,436,338
14: 0,213,165,415,334,270,492,373,342,85
15: 45,427,161,347,97,212,437,116,237
16: 420,151,363,434,433,269,385,102
17: 171,193,352,313,219,487,11,64
18: 414,419,247,438,364,390,68,13,20,289
19: 441,79,103,327,296,230,121,156,20,301
20: 156,447,360,289,228,18,364,121,19,301
21: 475,100,404,144,332,297,229,456,244,429,373
22: 223,163,436,338,297,311,475,429,415
23: 401,74,51,756,29
24: 731,443,483,348,119
25: 346,141,307,366,305,316,474,81
26: 305,316,422,365,357,304,198,40,134,366,5
27: 468,321,220,458,31,54,191,476
28: 362,418,395,132,273,400
29: 23,220
30: 196,374,73,51,236,61,201
31: 54,191,205,136,48,27,258,318
32: 468,321,47,196,374,498,125,458
33: 308,300,64,219,315,78,340,419
34: 91,446,221,77,217,108,459,319,38,229,456,332
35: 381,280,203,70,199,288,410
36: 258,345,489,336,498,209,311,125,492,136
37: 787,253,833,377
38: 459,297,319,229,221,34,338,475,332
39: 63,280,341,391,195,409,199,410
40: 134,366,5,183,357,491,304,198,316,26
41: 224,411,251,59,10,303,469,433
42: 386,638,471,388,187,96
43: 566,370,95,948,388
44: 337,499,452,117,8,283,206,202,159,485
45: 15,427,97,142,116,186,148,252
46: 293,118,353,281,323,129,368
47: 201,310,196,374,498,426,309,32
48: 31,205,136,258,336,318,241,413,369,431
49: 11,12,175,424,131,64,432,72,290,55,111,177
50: 407,479,428,82,0,481,255,207,403
51: 30,196,236,74,23,401,468
52: 432,408,72,339,101,455,254,276,131,486,406
