0: 188,165,342,428,50,204,479,85
1015: 
2: 566,286,804,905,600
3: 279,60,653,485,823,140,128
4: 587,194,834,245,330,465,145
5: 210,307,366,354,417,40,134,304,316
6: 647,953,555,963,879,361
7: 431,369,241,256,93,205,54,503
8: 553,266,162,464,577,452,499,337
9: 53,160,214,155,124,239,358,58,493
10: 59,440,392,66,473,411,41,303
11: 33,308,300,17,219,64,424,12
12: 424,175,131,477,17,64,300,11
13: 459,68,18,414,289,364,360,319,38
14: 342,242,415,270,334,345,492,165
15: 437,45,212,237,161,427,252,75
16: 102,679,457,445,385,57,349
17: 352,477,78,64,193,12,175,11
18: 438,419,414,340,289,390,459,68,13
19: 296,103,441,301,79,121,201
20: 310,228,309,301,79,201,447,156
21: 404,144,475,373,100,484
22: 436,429,360,338,319,38,297
23: 936,236,837,51,686,861
24: 645,430,120,383,187,356,609
25: 168,346,366,305,474,69,81
26: 304,305,198,316,366,375,365,372
27: 476,458,468,401,191,36,31,136
28: 988,409,132,510,362
29: 84,467,476,458,989,136,809,240
30: 51,621,220,607,196,32,73,401
31: 336,258,93,205,136,36,27
32: 47,196,374,401,310,30,498,191,321,468
33: 308,300,340,11,219,64,494,419,123
1040: 820
35: 63,280,203,410,199,667,94
36: 498,191,125,27,258,31,136
37: 878,914,515,581,253
38: 332,221,297,459,13,77,319,22
39: 63,273,409,410
40: 417,134,357,491,5,304,316
41: 166,411,224,433,251,469,10,59,363,490
42: 883,386,96
43: 471,370,95,172,535,724
44: 117,206,485,202
45: 437,212,15,142,186,252,395,75
46: 353,299,87,118,323,389,368
47: 196,32,374,201,310,228,321
48: 431,369,241,256,342,242,232,85,264
49: 55,111,455,432,424,131,190,290,52
50: 82,428,407,188,0,278,255,479,85
51: 621,30,220,936,23,236,261,318
52: 72,290,339,268,455,276,432,408,49
53: 9,160,214,155,166,239,358,58,182,127
54: 503,93,205,84,467,7,680
55: 294,111,177,263,49,432,190,290,478,317,135
56: 295,320,950,176,291,351
57: 269,385,292,445,16,380,349
58: 183,170,182,9,53,160,358,292,493,127,65
59: 10,440,392,184,251,469,490,411,41
60: 653,485,322,3,202,823,140,184,128
61: 1026,997,201,103,374,73,607
62: 560,938,113,83,377,439,875
63: 39,285,280,391,35,273,409,410,199
64: 78,219,193,315,17,12,33,300,11
65: 235,174,333,58,183,170,134,210,354
66: 478,402,473,227,10,214,155,303
67: 264,948,431,232,257,260,267,226,1023
68: 459,13,77,308,18,419,108,390,319
69: 474,341,71,307,366,354,305,25
1041: 974
71: 474,69,341,333,307,354,150,216
72: 190,227,290,52,339,432,408,159,440
73: 196,374,1026,61,201,30,607
74: 756,697,621,236,837
75: 273,195,510,45,15,237,216,252
76: 490,152,324,122,92,251,469,855,248
77: 459,68,108,390,91,217,38,221
78: 219,64,193,1007,487,315,17,494
79: 19,103,301,121,201,228,20,374
80: 234,384,272,274,768,158,350,328,398
