0: 188,165,342,14,428,50,407,85,479
1015: 1055
2: 989,240,286,636,600
3: 60,653,128,577,584,1008,485,140
4: 194,916,245,517,587,330,465,145
5: 210,307,354,366,417,40,134,183,304,316
6: 963,606,708,647,555,361,953,891,180
7: 431,369,93,205,467,54,84,680
8: 841,266,587,464,162,145,452,499,206,337
9: 53,160,214,66,493,239,358,155,58
10: 59,440,392,218,251,66,473,303,227,166,411,41
11: 33,308,300,477,17,64,424,12
12: 424,175,131,477,17,300,11
13: 459,68,18,289,360,319,364,38
14: 342,242,232,415,270,334,492,165,0,241
15: 437,45,212,387,237,161,195,75,252,510
16: 380,349,102,445,265,385,57,151,679
17: 352,477,314,787,64,193,12,175,33,11
18: 438,419,414,289,230,390,68,13
19: 296,201,441,329,121,364,79,301,374
20: 310,228,79,47,309,301,447,374
21: 404,144,475,373,100,484,278
22: 436,429,459,338,319,38,297
23: 837,936,51,236,756,861
24: 430,1047,383,187,356
25: 168,346,307,366,305,474,69
26: 365,305,198,316,40,173,304,366,375,372
27: 458,261,468,191,31,136,36,476
28: 273,510,132,362,275,616,409
29: 476,467,318,458,205,136,809,84
30: 196,73,697,220,51,1026,236,401,32
31: 336,258,93,205,136,36,27,241
32: 498,191,401,321,47,30,196,426,468,36
33: 308,300,11,340,17,78,219,64,494
1040: 
35: 63,280,203,398,199,410,667,94,288
36: 336,258,31,205,136,498,191,32,27,476
37: 748,845,746,253,878,553,567,560
38: 332,221,297,459,13,77,319,22
1050: 643,773
40: 417,134,173,357,491,304,210,5,26,316
41: 166,411,433,363,251,469,10,59,76,490,434
42: 96,386,883,851
43: 836,803,948,267,95,172,370
1049: 775,806
45: 437,212,15,186,142,75,252,395
46: 353,495,87,238,118,389,323,368
47: 310,228,20,79,196,73,374,32,321
48: 431,369,241,334,93,342,242,232,257,264,503
49: 294,55,111,455,432,424,131,52,290
50: 82,428,407,188,0,255,85,479,403
51: 220,236,756,30,23,936,261,468,306,861
52: 72,290,339,455,276,432,408,159,49
53: 9,160,214,453,239,358,58,182,127
54: 84,286,680,467,7,240,256
55: 294,111,49,190,290,478,317,135,263
56: 295,176,997,950,351,320
57: 269,385,445,292,380,349,16,235
58: 292,170,182,9,53,160,493,358,127,134,183,65
59: 10,392,184,251,469,303,490,411,433,41
60: 3,653,128,1008,485,218,322,140,184
61: 103,697,201,441,621,79,73,374
